customer_id,customer_name,gender,age,occupation,annual_income,city,state,join_date
C0001,Customer_1,Male,38,Business,1236213,Mumbai,Maharashtra,13-10-21
C0002,Customer_2,Male,58,Student,433306,Mumbai,Maharashtra,03-03-21
C0003,Customer_3,Male,35,Salaried,2654032,Mumbai,Maharashtra,12-02-22
C0004,Customer_4,Male,49,Professional,327257,Hyderabad,Telangana,23-11-21
C0005,Customer_5,Female,38,Business,1203091,Hyderabad,Telangana,21-11-22
C0006,Customer_6,Male,45,Salaried,1805668,Mumbai,Maharashtra,06-12-22
C0007,Customer_7,Male,50,Salaried,1887688,Bengaluru,Karnataka,11-06-21
C0008,Customer_8,Female,57,Business,591735,Bengaluru,Karnataka,04-04-21
C0009,Customer_9,Female,26,Business,723630,Delhi,Delhi,18-02-23
C0010,Customer_10,Female,44,Business,1852651,Bengaluru,Karnataka,29-12-22
C0011,Customer_11,Female,25,Business,2540345,Delhi,Delhi,17-05-22
C0012,Customer_12,Female,45,Professional,2984353,Delhi,Delhi,15-02-24
C0013,Customer_13,Female,24,Business,434638,Delhi,Delhi,09-10-22
C0014,Customer_14,Female,25,Business,2678925,Hyderabad,Telangana,07-10-22
C0015,Customer_15,Female,46,Student,899246,Delhi,Delhi,27-06-22
C0016,Customer_16,Male,56,Professional,2751931,Delhi,Delhi,28-05-23
C0017,Customer_17,Female,35,Business,2437108,Hyderabad,Telangana,08-10-23
C0018,Customer_18,Male,28,Business,2931699,Mumbai,Maharashtra,24-11-21
C0019,Customer_19,Male,45,Student,2799337,Hyderabad,Telangana,17-08-23
C0020,Customer_20,Male,28,Professional,2988388,Bengaluru,Karnataka,28-11-22
C0021,Customer_21,Female,48,Business,2203055,Mumbai,Maharashtra,07-01-21
C0022,Customer_22,Male,53,Salaried,2922699,Bengaluru,Karnataka,04-09-22
C0023,Customer_23,Male,44,Business,2562319,Delhi,Delhi,23-12-23
C0024,Customer_24,Female,52,Salaried,769207,Mumbai,Maharashtra,14-01-23
C0025,Customer_25,Male,24,Business,2679667,Bengaluru,Karnataka,11-06-21
C0026,Customer_26,Female,25,Business,838512,Mumbai,Maharashtra,13-09-24
C0027,Customer_27,Male,37,Student,1188346,Hyderabad,Telangana,10-01-24
C0028,Customer_28,Female,46,Professional,2137524,Delhi,Delhi,26-11-23
C0029,Customer_29,Male,36,Business,568544,Hyderabad,Telangana,24-11-22
C0030,Customer_30,Male,58,Business,330160,Mumbai,Maharashtra,26-05-21
C0031,Customer_31,Male,25,Salaried,1685917,Mumbai,Maharashtra,26-05-21
C0032,Customer_32,Female,52,Business,2561711,Delhi,Delhi,28-09-21
C0033,Customer_33,Male,51,Student,1098637,Hyderabad,Telangana,13-07-21
C0034,Customer_34,Female,43,Student,2024287,Mumbai,Maharashtra,15-08-23
C0035,Customer_35,Male,24,Student,1723138,Mumbai,Maharashtra,12-08-21
C0036,Customer_36,Male,33,Student,887967,Delhi,Delhi,15-05-23
C0037,Customer_37,Female,50,Business,616187,Delhi,Delhi,27-06-23
C0038,Customer_38,Male,55,Salaried,691172,Mumbai,Maharashtra,30-04-22
C0039,Customer_39,Female,52,Student,1196521,Delhi,Delhi,02-04-23
C0040,Customer_40,Male,45,Salaried,1937547,Mumbai,Maharashtra,28-06-22
C0041,Customer_41,Female,48,Student,949264,Hyderabad,Telangana,24-01-22
C0042,Customer_42,Male,24,Salaried,1615353,Bengaluru,Karnataka,28-04-21
C0043,Customer_43,Female,53,Business,538570,Mumbai,Maharashtra,07-11-23
C0044,Customer_44,Male,25,Salaried,1286516,Mumbai,Maharashtra,07-04-23
C0045,Customer_45,Male,58,Salaried,2897874,Mumbai,Maharashtra,17-06-21
C0046,Customer_46,Female,37,Business,1617782,Hyderabad,Telangana,04-05-22
C0047,Customer_47,Female,29,Professional,2217738,Bengaluru,Karnataka,10-10-22
C0048,Customer_48,Male,50,Salaried,607277,Mumbai,Maharashtra,07-01-24
C0049,Customer_49,Female,29,Professional,588531,Delhi,Delhi,16-05-22
C0050,Customer_50,Female,31,Student,2578421,Bengaluru,Karnataka,12-09-22
C0051,Customer_51,Female,27,Business,1409250,Mumbai,Maharashtra,25-08-21
C0052,Customer_52,Male,38,Professional,2836840,Mumbai,Maharashtra,08-03-22
C0053,Customer_53,Male,37,Student,1353278,Bengaluru,Karnataka,15-04-21
C0054,Customer_54,Female,38,Salaried,314871,Mumbai,Maharashtra,15-11-22
C0055,Customer_55,Female,31,Student,2613915,Delhi,Delhi,26-05-23
C0056,Customer_56,Male,25,Business,2588371,Mumbai,Maharashtra,15-03-21
C0057,Customer_57,Male,48,Business,475442,Bengaluru,Karnataka,24-09-22
C0058,Customer_58,Male,43,Business,1346603,Bengaluru,Karnataka,27-09-24
C0059,Customer_59,Female,56,Student,2903243,Mumbai,Maharashtra,13-11-21
C0060,Customer_60,Male,32,Student,403961,Delhi,Delhi,03-01-22
C0061,Customer_61,Female,36,Professional,967724,Bengaluru,Karnataka,10-08-21
C0062,Customer_62,Male,51,Business,1137069,Hyderabad,Telangana,01-08-23
C0063,Customer_63,Female,35,Business,399255,Bengaluru,Karnataka,13-09-24
C0064,Customer_64,Female,42,Professional,591171,Delhi,Delhi,26-07-22
C0065,Customer_65,Female,55,Professional,415765,Bengaluru,Karnataka,25-08-21
C0066,Customer_66,Male,58,Professional,460462,Bengaluru,Karnataka,11-08-21
C0067,Customer_67,Female,41,Student,2842624,Hyderabad,Telangana,14-11-23
C0068,Customer_68,Female,57,Business,1368383,Mumbai,Maharashtra,01-04-21
C0069,Customer_69,Male,54,Business,1827655,Hyderabad,Telangana,03-06-23
C0070,Customer_70,Female,60,Professional,822716,Mumbai,Maharashtra,08-09-22
C0071,Customer_71,Female,41,Student,1540067,Bengaluru,Karnataka,10-02-24
C0072,Customer_72,Male,47,Student,1029923,Delhi,Delhi,14-06-24
