loan_id,customer_id,branch_id,loan_type_id,disbursement_date,due_date,loan_amount,interest_rate,emi_amount,paid_amount,outstanding_balance,loan_status,default_flag
L00001,C0393,B009,4,10-07-22,08-07-30,1785614,12.51,16368.13,441378.16,1344235.84,Active,No
L00002,C0601,B003,4,02-10-23,01-10-25,1015997,9.71,9313.31,909001.94,106995.06,Active,No
L00003,C1378,B025,1,17-12-22,17-12-23,348861,7.99,3197.89,233219.55,115641.45,Active,No
L00004,C0086,B004,2,09-02-24,06-02-33,160621,13.83,1472.36,117615.98,43005.02,Closed,No
L00005,C0996,B016,3,20-01-23,17-01-33,4462697,10.94,40908.06,4415916.66,46780.34,Closed,No
L00006,C0740,B022,4,15-01-23,13-01-30,2977942,12.39,27297.8,2976620.12,1321.88,Closed,No
L00007,C1431,B013,6,31-12-22,30-12-25,2870381,7.71,26311.83,2425518.34,444862.66,Active,No
L00008,C0510,B012,4,06-05-22,03-05-32,4551241,12.99,41719.71,1927787.47,2623453.53,Closed,No
L00009,C0007,B021,3,09-06-24,09-06-25,4086261,12.57,37457.39,2500510.6,1585750.4,Closed,No
L00010,C1389,B015,2,13-06-24,11-06-34,483814,11.38,4434.96,472046.71,11767.29,Closed,No
L00011,C0976,B022,6,27-01-24,26-01-26,782574,13.37,7173.6,374592.48,407981.52,Defaulted,Yes
L00012,C1172,B026,6,28-10-22,26-10-31,1736424,7.75,15917.22,1336271.3,400152.7,Closed,No
L00013,C1124,B028,4,25-05-23,24-05-26,830562,14.67,7613.49,366343.16,464218.84,Closed,No
L00014,C0434,B006,6,29-04-22,28-04-24,4144722,8.34,37993.29,3026118.27,1118603.73,Active,No
L00015,C0786,B025,3,03-01-24,02-01-28,345130,13.25,3163.69,113267.6,231862.4,Defaulted,Yes
L00016,C1363,B005,5,13-11-23,11-11-31,4095513,8.22,37542.2,3936619.81,158893.19,Closed,No
L00017,C1231,B003,6,10-12-23,08-12-29,2891738,10.52,26507.6,2595486.63,296251.37,Defaulted,Yes
L00018,C0895,B026,2,05-01-24,04-01-28,3301516,9.57,30263.9,2387444.15,914071.85,Closed,No
L00019,C1213,B030,2,25-10-22,24-10-24,835516,12.08,7658.9,241552.7,593963.3,Active,No
L00020,C0004,B010,1,11-05-22,08-05-32,2728757,11.78,25013.61,2628488.54,100268.46,Active,No
L00021,C0748,B026,6,17-05-24,17-05-27,3356000,11.66,30763.33,3301899.93,54100.07,Active,No
L00022,C0944,B011,2,09-09-23,07-09-28,1963458,14.2,17998.37,560113.19,1403344.81,Active,No
L00023,C1363,B028,6,27-05-23,26-05-24,3923397,12.29,35964.47,1247405.97,2675991.03,Active,No
L00024,C1447,B019,4,13-11-22,12-11-26,4314252,11.46,39547.31,4280894.59,33357.41,Active,No
L00025,C0313,B027,6,23-12-23,22-12-27,3260061,14.28,29883.89,805398.3,2454662.7,Closed,No
L00026,C0367,B028,4,09-04-24,08-04-31,1988038,9.89,18223.68,1511556.84,476481.16,Active,No
L00027,C0692,B014,6,14-04-24,12-04-32,1435409,15.42,13157.92,1425146.65,10262.35,Active,No
L00028,C0580,B010,6,15-02-24,14-02-28,3382988,13.11,31010.72,1734967.01,1648020.99,Active,No
L00029,C1189,B028,1,16-07-23,14-07-28,3403202,11.16,31196.02,945598.92,2457603.08,Active,No
L00030,C0597,B029,2,17-06-22,16-06-26,4941547,9.25,45297.51,1532120.56,3409426.44,Closed,No
L00031,C1487,B028,5,06-02-24,05-02-26,1741273,12.93,15961.67,1372567.35,368705.65,Active,No
L00032,C1392,B027,2,29-05-24,29-05-25,1338204,8.27,12266.87,670767.57,667436.43,Defaulted,Yes
L00033,C1056,B021,3,01-05-23,28-04-33,1606869,10.97,14729.63,1536248.0,70621.0,Active,No
L00034,C0813,B016,3,02-06-22,30-05-32,3488947,15.14,31982.01,1381625.81,2107321.19,Active,No
L00035,C1374,B022,1,31-10-23,29-10-31,3248845,14.42,29781.08,2666261.62,582583.38,Defaulted,Yes
L00036,C0753,B001,1,28-10-23,27-10-25,3305294,8.16,30298.53,1388794.74,1916499.26,Closed,No
L00037,C1173,B016,3,16-05-23,15-05-25,4376080,13.85,40114.07,1662682.98,2713397.02,Active,No
L00038,C0889,B010,5,05-07-22,04-07-25,3320888,8.3,30441.47,1950534.13,1370353.87,Closed,No
L00039,C0041,B013,5,07-03-22,05-03-31,4608969,13.77,42248.88,1603515.06,3005453.94,Closed,No
L00040,C1104,B023,6,27-06-23,26-06-25,4198365,13.53,38485.01,1054399.76,3143965.24,Closed,No
L00041,C0369,B001,5,01-08-22,30-07-30,1084202,13.9,9938.52,373541.57,710660.43,Active,No
L00042,C0331,B003,5,06-05-22,05-05-27,428356,14.31,3926.6,129814.48,298541.52,Active,No
L00043,C0745,B018,2,05-02-22,03-02-29,809762,15.32,7422.82,796759.45,13002.55,Active,No
L00044,C1064,B029,3,05-11-23,02-11-32,100717,11.06,923.24,40152.81,60564.19,Active,No
L00045,C0722,B020,5,14-08-23,11-08-32,4214132,9.18,38629.54,3186225.96,1027906.04,Active,No
L00046,C0614,B028,2,12-04-22,11-04-25,475269,12.32,4356.63,185202.96,290066.04,Active,No
L00047,C0865,B003,5,10-08-22,09-08-27,3112056,9.59,28527.18,1313028.01,1799027.99,Closed,No
L00048,C0521,B022,4,28-10-23,27-10-26,1470022,11.79,13475.2,764481.27,705540.73,Active,No
L00049,C0395,B023,3,14-03-22,11-03-32,2359888,12.76,21632.31,2351126.72,8761.28,Closed,No
L00050,C0315,B011,4,20-04-24,19-04-31,4390164,7.71,40243.17,3002677.93,1387486.07,Active,No
L00051,C0226,B022,5,11-09-23,09-09-30,2176161,8.03,19948.14,570197.0,1605964.0,Active,No
L00052,C0560,B005,2,18-10-23,16-10-28,846369,7.58,7758.38,414937.13,431431.87,Active,No
L00053,C0253,B006,5,22-01-23,21-01-28,1964163,12.21,18004.83,987789.12,976373.88,Active,No
L00054,C1172,B028,3,06-04-24,04-04-33,4207218,9.67,38566.17,1163011.56,3044206.44,Active,No
L00055,C0798,B006,3,12-04-22,10-04-31,502345,11.91,4604.83,169088.29,333256.71,Defaulted,Yes
L00056,C0020,B022,5,20-05-24,20-05-27,3477683,12.76,31878.76,2022236.13,1455446.87,Active,No
L00057,C1486,B021,3,27-05-22,26-05-26,3277610,12.93,30044.76,2143716.3,1133893.7,Active,No
L00058,C0960,B017,3,05-03-23,03-03-28,3940192,15.12,36118.43,1365211.99,2574980.01,Defaulted,Yes
L00059,C0626,B014,3,18-06-23,17-06-25,2019012,12.58,18507.61,896744.07,1122267.93,Closed,No
L00060,C0118,B003,6,20-03-22,19-03-27,2113574,11.93,19374.43,2020351.77,93222.23,Active,No
L00061,C1042,B030,6,20-05-23,19-05-26,189713,11.34,1739.04,183970.97,5742.03,Active,No
L00062,C1263,B007,6,12-06-23,11-06-24,4566173,13.21,41856.59,3462554.38,1103618.62,Active,No
L00063,C1355,B030,5,21-12-23,18-12-33,4582241,7.84,42003.88,3664575.58,917665.42,Active,No
L00064,C1073,B029,2,05-04-23,04-04-26,1513751,8.1,13876.05,1119597.09,394153.91,Closed,No
L00065,C0866,B016,4,09-05-24,09-05-27,1218359,10.49,11168.29,744353.49,474005.51,Defaulted,Yes
L00066,C1105,B028,1,26-04-22,25-04-27,2935002,9.89,26904.19,2733179.93,201822.07,Active,No
L00067,C1165,B013,2,28-10-22,27-10-27,2320890,14.93,21274.83,859780.1,1461109.9,Closed,No
L00068,C0949,B029,5,21-10-23,19-10-31,4424570,7.96,40558.56,3807704.9,616865.1,Active,No
L00069,C0011,B012,6,07-01-22,06-01-25,3961728,10.72,36315.84,1833651.9,2128076.1,Active,No
L00070,C1084,B017,2,10-01-22,08-01-29,950082,8.49,8709.09,517455.56,432626.44,Active,No
L00071,C0464,B016,4,15-05-23,13-05-29,157969,9.89,1448.05,51261.62,106707.38,Closed,No
L00072,C0899,B022,4,15-03-23,14-03-26,1628253,8.62,14925.65,1024402.2,603850.8,Active,No
L00073,C1453,B007,1,05-02-24,04-02-28,3740321,9.78,34286.28,765449.87,2974871.13,Closed,No
L00074,C0065,B006,6,17-05-22,16-05-26,3409691,15.09,31255.5,1830474.25,1579216.75,Active,No
L00075,C1015,B026,6,13-11-23,12-11-26,2329688,10.1,21355.47,687336.81,1642351.19,Active,No
L00076,C0797,B005,1,22-02-24,21-02-26,3454403,13.84,31665.36,2077778.03,1376624.97,Defaulted,Yes
L00077,C1402,B008,1,10-05-22,08-05-28,1404780,10.94,12877.15,667686.93,737093.07,Active,No
L00078,C0996,B003,4,04-09-23,03-09-27,167351,12.44,1534.05,91618.45,75732.55,Active,No
L00079,C0236,B028,3,17-01-24,16-01-28,4388590,12.83,40228.74,1533760.37,2854829.63,Active,No
L00080,C0212,B023,6,16-03-23,13-03-32,1764404,12.39,16173.7,1021791.52,742612.48,Closed,No
L00081,C0079,B009,2,13-07-22,12-07-25,1347604,10.91,12353.04,516816.04,830787.96,Active,No
L00082,C0835,B017,3,24-09-23,23-09-27,1774731,9.27,16268.37,484054.94,1290676.06,Active,No
L00083,C0106,B010,1,13-03-23,11-03-28,4119781,10.41,37764.66,1026154.14,3093626.86,Active,No
L00084,C0373,B002,1,26-12-22,26-12-23,3607060,12.78,33064.72,1434076.55,2172983.45,Closed,No
L00085,C1243,B004,4,26-11-22,25-11-25,1878196,9.52,17216.8,804344.15,1073851.85,Active,No
L00086,C1371,B001,6,19-05-23,16-05-32,3149940,13.66,28874.45,1472362.97,1677577.03,Active,No
L00087,C1207,B017,5,14-05-22,12-05-28,2878405,9.41,26385.38,1405971.22,1472433.78,Closed,No
L00088,C0218,B005,6,10-10-22,07-10-32,1861887,8.46,17067.3,1242738.4,619148.6,Active,No
L00089,C0203,B003,5,24-08-23,21-08-33,1697472,10.24,15560.16,601485.63,1095986.37,Active,No
L00090,C1477,B005,1,13-01-24,12-01-27,4077865,9.03,37380.43,4044082.71,33782.29,Active,No
L00091,C1148,B012,3,18-07-23,16-07-31,2218337,12.54,20334.76,2025939.13,192397.87,Closed,No
L00092,C1032,B026,1,01-05-22,30-04-25,3758488,12.29,34452.81,955282.86,2803205.14,Active,No
L00093,C0125,B026,6,15-12-23,14-12-27,1181578,13.43,10831.13,510116.86,671461.14,Defaulted,Yes
L00094,C0154,B006,4,12-02-23,10-02-32,4252578,10.57,38981.97,3179888.26,1072689.74,Closed,No
L00095,C0377,B001,2,09-03-24,07-03-34,3373628,9.24,30924.92,1756577.82,1617050.18,Active,No
L00096,C0933,B017,6,15-12-23,12-12-32,174334,9.57,1598.06,157480.09,16853.91,Closed,No
L00097,C0244,B006,2,22-05-24,22-05-25,1948315,11.77,17859.55,851590.85,1096724.15,Active,No
L00098,C0569,B030,2,26-10-22,25-10-27,427916,14.49,3922.56,304544.51,123371.49,Defaulted,Yes
L00099,C0238,B001,6,22-02-22,21-02-28,2188831,12.56,20064.28,2170508.33,18322.67,Active,No
L00100,C1125,B009,6,13-01-23,12-01-26,2822622,10.77,25874.03,752502.35,2070119.65,Closed,No
L00101,C0022,B027,3,19-09-23,18-09-27,2573761,13.34,23592.81,1183178.81,1390582.19,Active,No
L00102,C1347,B028,5,14-10-22,13-10-24,1582562,13.28,14506.82,640604.91,941957.09,Active,No
L00103,C1283,B021,5,06-12-23,03-12-32,3304288,9.15,30289.31,3160634.22,143653.78,Active,No
L00104,C1290,B026,4,29-03-23,28-03-26,1950854,11.07,17882.83,896242.66,1054611.34,Active,No
L00105,C0192,B016,2,18-01-24,16-01-32,3739846,8.98,34281.92,1850894.68,1888951.32,Defaulted,Yes
L00106,C1494,B006,6,02-06-24,01-06-29,1577322,7.67,14458.79,553778.73,1023543.27,Active,No
