payment_id,loan_id,payment_date,payment_amount,payment_status
P00001,L09979,24-10-23,62809.65,Paid
P00002,L06930,25-02-22,57064.29,Paid
P00003,L01079,04-12-22,51367.42,Paid
P00004,L14872,22-03-24,73270.41,Paid
P00005,L07060,13-03-22,33423.36,Paid
P00006,L14875,04-05-22,90773.03,Paid
P00007,L06121,11-08-22,97274.26,Missed
P00008,L13977,01-09-23,44670.9,Paid
P00009,L14034,04-03-23,77296.84,Pending
P00010,L10951,27-12-23,82729.75,Paid
P00011,L01679,21-09-24,21074.56,Paid
P00012,L04032,30-04-24,68272.89,Paid
P00013,L02897,12-07-22,91738.79,Paid
P00014,L10070,05-03-22,83007.01,Paid
P00015,L00211,14-02-25,50758.44,Paid
P00016,L07414,03-12-24,54597.93,Paid
P00017,L08748,26-08-22,19283.32,Paid
P00018,L08396,17-10-22,98975.22,Paid
P00019,L06708,28-03-25,25481.45,Missed
P00020,L10894,20-05-24,45793.8,Paid
P00021,L00537,27-03-23,34848.29,Pending
P00022,L13132,14-02-24,24824.31,Paid
P00023,L12814,14-09-24,57735.94,Missed
P00024,L05789,16-10-22,59839.57,Paid
P00025,L07379,17-10-24,6346.84,Paid
P00026,L09418,02-02-23,13473.58,Paid
P00027,L13408,29-05-23,97714.7,Paid
P00028,L11805,16-11-22,7370.48,Paid
P00029,L04626,22-10-23,41290.39,Paid
P00030,L08602,04-12-24,20665.09,Missed
P00031,L04527,25-02-24,24620.81,Missed
P00032,L11603,25-08-23,98612.97,Paid
P00033,L11114,15-10-24,61378.0,Missed
P00034,L09982,30-03-23,24273.36,Paid
P00035,L14155,05-06-22,72078.12,Paid
P00036,L04621,07-04-23,43837.35,Pending
P00037,L05445,02-12-23,28687.01,Paid
P00038,L14797,29-05-24,47908.13,Paid
P00039,L12760,19-03-25,42900.99,Paid
P00040,L12062,04-07-23,56405.35,Paid
P00041,L13885,26-12-23,43808.54,Paid
P00042,L10215,16-05-22,12573.27,Missed
P00043,L07469,12-05-24,80996.09,Missed
P00044,L09626,21-08-23,70142.42,Paid
P00045,L13191,28-03-25,74215.55,Paid
P00046,L06359,12-01-23,70753.18,Pending
P00047,L02255,01-11-22,5940.71,Paid
P00048,L09092,21-04-23,42182.35,Paid
P00049,L14053,20-11-22,2663.6,Paid
P00050,L08079,17-01-24,98510.23,Pending
P00051,L02438,02-11-23,34924.11,Paid
P00052,L02348,12-07-23,53579.61,Paid
P00053,L03516,12-04-23,23432.41,Paid
P00054,L12490,18-12-24,77858.47,Paid
P00055,L12926,06-12-24,69313.53,Paid
P00056,L04420,17-09-22,29376.15,Paid
P00057,L04633,24-10-23,38113.13,Paid
P00058,L14183,08-08-24,67880.37,Paid
P00059,L06459,18-07-22,74271.03,Paid
